3

v02 a00 v00
-216.0 0.0 0.0
-193.0 0.0 0.0
-43.0 0.0 0.0
-248.0 0.0 0.0
-11.0 0.0 0.0
-592.0 0.0 0.0
-62.0 0.0 0.0
-114.0 0.0 0.0
-104.0 0.0 0.0
-113.0 0.0 0.0
-101.0 0.0 0.0
-231.0 0.0 0.0
-133.0 0.0 0.0
-89.0 0.0 0.0
-93.0 0.0 0.0
-102.0 0.0 0.0
-16.0 0.0 0.0
-151.0 0.0 0.0
-47.0 0.0 0.0
-312.0 0.0 0.0
-71.0 0.0 0.0
-122.0 0.0 0.0
4.0 0.0 0.0
-357.0 0.0 0.0
-132.0 0.0 0.0
-105.0 0.0 0.0
-8.0 0.0 0.0
-105.0 0.0 0.0
74.0 0.0 0.0
-53.0 0.0 0.0
-60.0 0.0 0.0
-60.0 0.0 0.0
-487.0 0.0 0.0
-24.0 0.0 0.0
-112.0 0.0 0.0
-127.0 0.0 0.0
-167.0 0.0 0.0
-230.0 0.0 0.0
-104.0 0.0 0.0
-20.0 0.0 0.0
-223.0 0.0 0.0
-379.0 0.0 0.0
-431.0 0.0 0.0
-266.0 0.0 0.0
-154.0 0.0 0.0
-32.0 0.0 0.0
-383.0 0.0 0.0
-120.0 0.0 0.0
-378.0 0.0 0.0
-129.0 0.0 0.0
-32.0 0.0 0.0
-361.0 0.0 0.0
-179.0 0.0 0.0
-84.0 0.0 0.0
-62.0 0.0 0.0
-42.0 0.0 0.0
-239.0 0.0 0.0
-131.0 0.0 0.0
-175.0 0.0 0.0
-157.0 0.0 0.0
-164.0 0.0 0.0
-273.0 0.0 0.0
-499.0 0.0 0.0
-77.0 0.0 0.0
-180.0 0.0 0.0
-89.0 0.0 0.0
-129.0 0.0 0.0
-249.0 0.0 0.0
-136.0 0.0 0.0
-159.0 0.0 0.0
-158.0 0.0 0.0
-53.0 0.0 0.0
-227.0 0.0 0.0
-98.0 0.0 0.0
-74.0 0.0 0.0
-92.0 0.0 0.0
-217.0 0.0 0.0
-145.0 0.0 0.0
-229.0 0.0 0.0
-219.0 0.0 0.0
-68.0 0.0 0.0
-67.0 0.0 0.0
-232.0 0.0 0.0
-168.0 0.0 0.0
-128.0 0.0 0.0
-157.0 0.0 0.0
-82.0 0.0 0.0
-176.0 0.0 0.0
-91.0 0.0 0.0
-264.0 0.0 0.0
-144.0 0.0 0.0
-98.0 0.0 0.0
-110.0 0.0 0.0
-149.0 0.0 0.0
-86.0 0.0 0.0
-69.0 0.0 0.0
-109.0 0.0 0.0
-67.0 0.0 0.0
-107.0 0.0 0.0
-260.0 0.0 0.0
-142.0 0.0 0.0
-162.0 0.0 0.0
-181.0 0.0 0.0
-156.0 0.0 0.0
-101.0 0.0 0.0
-136.0 0.0 0.0
-50.0 0.0 0.0
-258.0 0.0 0.0
-66.0 0.0 0.0
-93.0 0.0 0.0
-278.0 0.0 0.0
-56.0 0.0 0.0
-177.0 0.0 0.0
-123.0 0.0 0.0
-72.0 0.0 0.0
-175.0 0.0 0.0
-57.0 0.0 0.0
-151.0 0.0 0.0
-187.0 0.0 0.0
-13.0 0.0 0.0
-24.0 0.0 0.0
-252.0 0.0 0.0
-118.0 0.0 0.0
-161.0 0.0 0.0
-101.0 0.0 0.0
-96.0 0.0 0.0
-170.0 0.0 0.0
-426.0 0.0 0.0
-136.0 0.0 0.0
-124.0 0.0 0.0
-113.0 0.0 0.0
-242.0 0.0 0.0
-151.0 0.0 0.0
-77.0 0.0 0.0
-60.0 0.0 0.0
-39.0 0.0 0.0
-231.0 0.0 0.0
50.0 0.0 0.0
11.0 0.0 0.0
-195.0 0.0 0.0
-30.0 0.0 0.0
-78.0 0.0 0.0
-75.0 0.0 0.0
-103.0 0.0 0.0
22.0 0.0 0.0
-123.0 0.0 0.0
-46.0 0.0 0.0
-183.0 0.0 0.0
-115.0 0.0 0.0
-121.0 0.0 0.0
-151.0 0.0 0.0
-295.0 0.0 0.0
-295.0 0.0 0.0
-107.0 0.0 0.0
-109.0 0.0 0.0
-76.0 0.0 0.0
-148.0 0.0 0.0
-113.0 0.0 0.0
-116.0 0.0 0.0
-183.0 0.0 0.0
-176.0 0.0 0.0
